timestamp,strategi,mode,aksi,market,condition_id,outcome,harga,size_usd,skor,edge_pct,keterangan,end_date,resolved,menang,pnl
2026-07-17T00:16:02.120002+00:00,copytrade,paper,skip_harga,Exact Score: Chicago Fire FC 0 - 2 Vancouver Whitecaps FC?,0xdee53c872dfc5f633345aa8e953958961e3d2daf3aabed82a715f8a42ee33875,No,0.955,,,,harga 0.955 > maxprice 0.85 (favorit),2026-07-17,,,
2026-07-17T00:16:02.232620+00:00,copytrade,paper,ikut,France vs. England: O/U 5.5,0x6512196f058444f422d4f8ed9a00ba1b48f70ed879fb2fbaac2d36e8f42e9d6b,Over,0.125,2.5,8.33,,1 trader · dry_run [agresif],2026-07-18,,,
2026-07-17T00:16:02.823553+00:00,copytrade,paper,skip_harga,Spread: Santos FC (-1.5),0x4bc81bb53a17ce9e4b1272e1509f95887e820db06c4d90fba346e3e170238bd2,Botafogo FR,0.9895,,,,harga 0.9895 > maxprice 0.85 (favorit),2026-07-16,,,
2026-07-17T00:16:02.946513+00:00,copytrade,paper,skip_harga,France vs. England: O/U 1.5,0x6305ecd7daf99884bcac6e4a27a75309fa8d9695f95b8ecb2af2cc444f5cc78d,Over,0.865,,,,harga 0.865 > maxprice 0.85 (favorit),2026-07-18,,,
2026-07-17T00:16:03.061837+00:00,copytrade,paper,ikut,EC Vitória vs. CR Vasco da Gama: O/U 2.5,0x99beaf345a9c6426d7ed1a9cb4a6abacc6aa971b758b94887021fc71faa78378,Over,0.045,2.5,8.33,,1 trader · dry_run [agresif],2026-07-16,,,
2026-07-17T00:16:03.631096+00:00,copytrade,paper,skip_harga,Will CR Vasco da Gama win on 2026-07-16?,0xab94263fcab12ae176da88fcda4422a55930b7a9c3b51269e396d95cce0e75b1,No,0.987,,,,harga 0.987 > maxprice 0.85 (favorit),2026-07-16,,,
2026-07-17T00:16:03.742752+00:00,copytrade,paper,skip_harga,EC Vitória vs. CR Vasco da Gama: O/U 5.5,0xe3494b74af5b1aeec01e6bed59f7ae65f5be68edd99ec3426466b6191b72ac4e,Under,0.9945,,,,harga 0.9945 > maxprice 0.85 (favorit),2026-07-16,,,
2026-07-17T00:16:03.864208+00:00,copytrade,paper,skip_harga,Botafogo FR vs. Santos FC: O/U 1.5,0xbb6b132b2dccf1ee9a92bb60e1a65681fccda62b7cd4232d83b835a7b645eb8e,Over,0.9995,,,,harga 0.9995 > maxprice 0.85 (favorit),2026-07-16,,,
2026-07-17T00:16:03.985801+00:00,copytrade,paper,skip_harga,EC Vitória vs. CR Vasco da Gama: O/U 2.5,0x99beaf345a9c6426d7ed1a9cb4a6abacc6aa971b758b94887021fc71faa78378,Under,0.955,,,,harga 0.955 > maxprice 0.85 (favorit),2026-07-16,,,
2026-07-17T00:16:04.101541+00:00,copytrade,paper,ikut,Cordenons: Matyas Fule vs Thiago Seyboth Wild,0x7a4ad0c3a5a443a1ea20299c9df3fbabeaa300891c2949ffb93da14cd1983f4f,Thiago Seyboth Wild,0.0005,2.5,8.33,,1 trader · dry_run [agresif],2026-07-23,,,
2026-07-17T00:16:09.810693+00:00,copytrade,paper,hasil,Vålerenga Fotball vs. Aalesunds FK: O/U 2.5,0x4bd215e4d3bfecdd99b8a9a206f709779dcdf9b623b766c78e4cc031aa6bb45f,Under,0.35,2.5,4.44,,KALAH,,true,false,-2.5
2026-07-17T00:16:12.479241+00:00,copytrade,paper,hasil,Croatia Open: Alex Molcan vs Alejandro Davidovich Fokina,0xf5c66fd82a354ed384f53b3258c23badf7f754abbabd18e07c9e356a6f852b73,Alejandro Davidovich Fokina,0.735,2.5,8.66,,KALAH,,true,false,-2.5
2026-07-17T00:16:14.051375+00:00,copytrade,paper,hasil,KF Shkëndija 79 vs. Europa FC: O/U 0.5,0xe8e9cd917645841f5eaf4a7abcb149964336bcc558063fddc27b8e960a0ac6f7,Under,0.0005,2.5,8.66,,KALAH,,true,false,-2.5
2026-07-17T00:16:14.879290+00:00,copytrade,paper,hasil,Spread: Ferencvárosi TC (-2.5),0x38086205d357384c8e15793ef8ce59debbcac56971025067d67437c360b366d5,FK Vojvodina Novi Sad,0.0005,2.5,8.66,,KALAH,,true,false,-2.5
2026-07-17T00:16:15.186507+00:00,copytrade,paper,hasil,Will MŠK Žilina vs. HNK Hajduk Split end in a draw?,0xfe2b9faf9d4dbf4f4ec914023cc0948e245cdc79314e1241fc806bd20677a284,Yes,0.0005,2.5,8.66,,KALAH,,true,false,-2.5
2026-07-17T00:16:15.657192+00:00,copytrade,paper,hasil,Will FC Milsami Orhei vs. FK Velež Mostar end in a draw?,0x5f5cabe5fb71cfef93974fae859f2d5aa2c7838dd08472759b5eca565a5eb5eb,Yes,0.0005,2.5,8.66,,KALAH,,true,false,-2.5
2026-07-17T07:46:41.133072+00:00,scanner,paper,discovery,Will Argentina win the 2026 FIFA World Cup?,0x0c4cd2055d6ea89354ffddc55d6dbcef9355748112ea952fc925f3db6a5c457f,,,,,,"sports vol $154,897,235",,,,
2026-07-17T07:46:41.912034+00:00,scanner,paper,discovery,Will Spain win the 2026 FIFA World Cup?,0x7976b8dbacf9077eb1453a62bcefd6ab2df199acd28aad276ff0d920d6992892,,,,,,"sports vol $122,121,700",,,,
2026-07-17T07:46:42.056305+00:00,scanner,paper,discovery,Will LeBron James win the 2028 US Presidential Election?,0x836b850fc838195374862551a36f1c8691d96ff01e58b0a071f0fc1a0e357fb1,,,,,,"politics vol $54,339,455",,,,
2026-07-17T07:46:42.186084+00:00,scanner,paper,discovery,Will Oprah Winfrey win the 2028 Democratic presidential nomi,0xe06a7e94cf2fa8dc2085b7610fe16e9be1cde6654f34d365c13da1149b276c61,,,,,,"politics vol $54,093,590",,,,
2026-07-17T07:46:42.331294+00:00,scanner,paper,discovery,Will Bernie Sanders win the 2028 Democratic presidential nom,0x30cfb887558b20373a984da60c372fe5a90c0296aa6d8bb413a8aa7543846da2,,,,,,"politics vol $51,386,057",,,,
2026-07-17T07:46:42.467916+00:00,scanner,paper,discovery,Will Chelsea Clinton win the 2028 Democratic presidential no,0xf2e51acfbb6d0414dc2ace81b7dc2af7c165e443dcb91f6caa7aab6d6ab4f06d,,,,,,"politics vol $49,941,335",,,,
2026-07-17T07:46:42.601283+00:00,scanner,paper,discovery,Will Andrew Yang win the 2028 Democratic presidential nomina,0x450810ae738a0ff820d3248f2b24937f63fb8c8cf422ed2a915125adb4d9d3c8,,,,,,"politics vol $48,069,690",,,,
2026-07-17T07:46:42.731238+00:00,scanner,paper,discovery,Will LeBron James win the 2028 Democratic presidential nomin,0x8b203037c7c0e21b500314f8398d2a8ea294b7ce1f4f9185f426425a3505bc45,,,,,,"politics vol $43,601,584",,,,
2026-07-17T07:46:42.859832+00:00,scanner,paper,discovery,Will Hunter Biden win the 2028 Democratic presidential nomin,0x1945a8b23e313ed7423b6b6fd556f9ab5578900376b565a61dc480a5f4f35d21,,,,,,"politics vol $43,574,254",,,,
2026-07-17T07:46:42.990393+00:00,scanner,paper,discovery,Will Tim Walz win the 2028 US Presidential Election?,0xae70ab9bf1c3726fe430a2ba8b517697ae24e0f0ab554b876a5b521153068882,,,,,,"politics vol $43,468,714",,,,
2026-07-17T07:46:43.123712+00:00,scanner,paper,discovery,Will bitcoin hit $1m before GTA VI?,0xbb57ccf5853a85487bc3d83d04d669310d28c6c810758953b9d9b91d1aee89d2,,,,,,"crypto vol $4,671,655",,,,
